Rk,Player,Pos,MP,PER,TSx,3PAr,FTr,ORBx,DRBx,TRBx,ASTx,STLx,BLKx,TOVx,USGx,OWS,DWS,WS,WS/48,BPM,VORP,LA_RAPM,LA_RAPM_Rank,LA_RAPM__Def,LA_RAPM__Def_Rank,LA_RAPM__Off,LA_RAPM__Off_Rank,RA_EFG,RA_EFG_Rank,RA_EFG__Def,RA_EFG__Def_Rank,RA_EFG__Off,RA_EFG__Off_Rank,RA_FTR,RA_FTR_Rank,RA_FTR__Def,RA_FTR__Def_Rank,RA_FTR__Off,RA_FTR__Off_Rank,RA_ORBD,RA_ORBD_Rank,RA_ORBD__Def,RA_ORBD__Def_Rank,RA_ORBD__Off,RA_ORBD__Off_Rank,RA_TOV,RA_TOV_Rank,RA_TOV__Def,RA_TOV__Def_Rank,RA_TOV__Off,RA_TOV__Off_Rank,RAPM,RAPM_Rank,RAPM__Def,RAPM__Def_Rank,RAPM__Off,RAPM__Off_Rank,PIPM,X1,X2
257,Marcus Smart,SG,1721,14,0.519,0.582,0.201,2.5,10.1,6.4,21,2.4,1.5,11.5,19.3,0,0,0,0.015,0.5,0,0.89,75,0.72,58,0.18,180,0.04,229,0.54,45,-0.5,461,0.93,32,0.06,207,0.87,19,0.56,128,-0.06,296,0.62,77,0.56,56,0.48,40,0.08,184,1.08,72,1.3,26,-0.23,329,1.23,-3.11077542,0.054389881
258,Mario Hezonja,PF,767,9.5,0.532,0.339,0.27,3.6,18.1,10.9,7.2,1.7,1,14.9,13.7,0.1,0.6,0.7,0.028,-2.3,-0.1,-1.48,486,-0.61,435,-0.87,465,-0.41,410,0.1,197,-0.52,465,-0.11,296,-0.35,415,0.24,123,-1.45,485,-0.74,462,-0.71,448,-0.02,281,-0.13,354,0.11,168,-1.7,489,-0.71,432,-0.99,467,-3.04,-0.017129476,-1.26390175
259,Markelle Fultz,PG,1813,14.4,0.523,0.175,0.209,2,10.9,6.3,28.8,2.2,0.5,15.1,20.7,0,0,0,0.006,-0.3,0,0.2,190,0.37,116,-0.17,318,-0.24,358,-0.39,432,0.15,163,0.47,94,0.57,52,-0.1,317,0.08,230,0.52,84,-0.43,398,0.51,68,0.01,258,0.51,34,0.29,178,-0.1,303,0.39,135,0,-2.73478455,2.0867777
260,Markieff Morris,PF,1106,12.4,0.568,0.494,0.195,3.4,17,10.2,10.4,1.2,1.2,14,21.1,0.2,0.6,0.8,0.042,-2.9,-0.2,-1.73,496,-0.5,418,-1.22,496,0.01,252,0.11,192,-0.1,320,-1.07,492,-0.44,447,-0.63,469,-1.48,488,-0.11,327,-1.38,502,-0.47,446,-0.15,363,-0.32,435,-1.52,473,-0.15,315,-1.37,493,-2.09,0.806687386,-0.707131294
261,Marko Guduric,SG,476,8.8,0.515,0.526,0.162,3.1,12.3,7.8,12.4,1.2,1.5,17.9,17.6,2,1.2,3.2,0.088,0.1,0.9,0.39,141,0.67,68,-0.28,357,-0.04,269,-0.09,320,0.05,210,-0.21,335,0.07,204,-0.28,392,0.28,186,-0.12,330,0.4,124,0.16,165,0.36,71,-0.21,392,-0.24,312,-0.07,293,-0.17,313,-1.85,-0.852140094,0.255824836
262,Marquese Chriss,PF,1196,19.4,0.604,0.101,0.405,10,23.6,16.5,15.3,1.6,4.7,14.7,19,-0.2,0.4,0.2,0.033,-2.6,-0.1,-0.16,302,0.14,195,-0.3,365,-0.67,461,-0.47,454,-0.2,369,-0.11,297,0.14,168,-0.25,381,-0.33,336,-0.27,378,-0.06,268,0.01,274,0.07,188,-0.08,321,-1.37,468,-0.8,446,-0.57,402,0.21,3.33554265,1.33923469
263,Marvin Williams,PF,1011,11.4,0.585,0.578,0.217,2.1,13.7,7.8,8,1.7,2.4,9.3,13,0.3,0.7,1,0.049,-2.1,0,0.15,201,0.06,233,0.09,200,-0.19,341,-0.56,471,0.37,88,-0.37,390,-0.19,355,-0.18,357,-0.42,359,-0.05,286,-0.37,377,0.46,78,0.48,39,-0.03,279,-0.19,294,-0.63,423,0.44,125,-0.75,0.259711554,-1.20038164
264,Mason Plumlee,C,900,19.1,0.615,0.016,0.556,11,23.9,17.4,20,1.6,3.4,18.9,18.4,0.2,0.1,0.3,0.299,8.1,0.1,0.77,89,0.36,117,0.41,122,0.24,143,0.25,132,0.01,252,0.26,146,0.12,185,0.15,165,0.91,74,-0.08,310,0.99,39,-0.08,305,-0.18,382,0.11,169,0.31,172,0.25,184,0.05,229,-0.32,2.24092546,1.54224507
265,Matisse Thybulle,SG,1110,9.8,0.53,0.607,0.175,3.5,5.1,4.3,8.3,3.5,3.1,15.1,11.6,0.3,0.8,1.1,0.071,-1.1,0.2,0.29,159,0.38,112,-0.09,281,-0.14,313,-0.23,378,0.09,192,0.16,175,-0.09,301,0.25,121,0.9,75,0.4,108,0.49,103,0.75,35,1.19,2,-0.43,472,0.76,111,0.92,51,-0.16,311,-0.88,-2.50966143,-0.448357653
266,Matt Thomas,SG,321,13.6,0.65,0.676,0.09,2.4,13.2,7.9,7.9,1.2,0,9.4,17,0.9,1.7,2.6,0.087,1,1.1,-0.34,344,-0.22,353,-0.12,295,0.24,145,0.53,50,-0.29,408,-1.14,498,-0.77,499,-0.37,423,0.55,130,0.7,48,-0.15,305,-0.66,474,-0.61,489,-0.05,301,-0.12,273,0.37,149,-0.49,390,-1.94,-0.636777272,-1.13918626
267,Matthew Dellavedova,PG,821,8.1,0.463,0.52,0.211,2.4,7.8,5.1,29,1.2,0.2,23.6,13,2.5,1.6,4.2,0.111,1.1,1.4,0.67,101,1.05,29,-0.37,381,0.78,47,0.64,30,0.14,165,0.32,128,0.25,115,0.07,204,0.56,129,0.96,27,-0.4,390,-0.16,346,0.2,132,-0.36,453,0.97,84,1.3,25,-0.33,359,0.7,-3.00897466,2.95826002
268,Maurice Harkless,SF,1427,9.7,0.572,0.346,0.233,4.1,13.3,8.7,6.3,1.9,2,14.5,10.7,-0.4,0.4,0,0.006,-4.8,-0.3,-0.67,396,-0.5,415,-0.18,319,0.31,124,0.03,248,0.29,112,0.21,161,-0.44,444,0.64,43,-0.13,296,-0.5,439,0.37,129,-1.06,507,-0.45,464,-0.61,498,-0.56,370,-0.51,400,-0.05,269,-0.54,-0.554773488,-1.60900319
269,Maxi Kleber,C,1695,13.8,0.603,0.614,0.172,6.2,15.5,11,6.2,0.6,3.9,8.7,13.9,2.8,1.1,3.9,0.128,1.8,1.4,-0.14,295,-0.79,455,0.64,86,0.17,170,0.56,43,-0.39,442,-0.61,448,-0.43,442,-0.18,358,0.4,159,-0.14,338,0.54,91,0.05,223,-0.45,466,0.5,36,0.62,124,0.42,136,0.2,185,-0.83,1.79056182,-1.59659675
270,Meyers Leonard,C,987,11.1,0.64,0.534,0.117,3.2,24.1,14.1,7.7,0.6,1.5,13,12,0.6,0.6,1.3,0.071,-0.8,0.3,0.27,167,0.27,148,0.01,250,0.71,55,0.38,82,0.33,102,-0.5,426,0.34,93,-0.83,495,-0.1,289,0.67,52,-0.76,456,-0.32,397,0.05,205,-0.37,459,0.58,131,0.71,75,-0.13,305,0.48,2.91511746,-0.549998195
271,Michael Carter-Williams,SG,773,15.7,0.539,0.281,0.36,5.9,13.8,9.7,19.4,2.8,2.3,14.6,18.4,0.2,0.6,0.8,0.071,-1.9,0,0.33,151,-0.08,306,0.4,126,-0.21,349,-0.45,447,0.24,131,0.23,157,-0.12,323,0.35,89,0.95,67,-0.42,420,1.37,16,0.86,21,0.77,12,0.09,178,0.63,122,-0.47,394,1.1,40,0.65,-1.78409211,0.690515857
272,Michael Kidd-Gilchrist,PF-SF,231,4.2,0.401,0.333,0.183,5.5,20.3,12.8,8.1,0.4,1.9,16.7,14.8,1,0.7,1.7,0.105,0.5,0.5,0.15,203,0.43,104,-0.28,358,0.24,140,0.62,34,-0.37,438,0.01,247,-0.06,283,0.06,209,0.9,76,0.06,230,0.84,58,0.04,235,0.02,231,0.02,241,0.49,144,0.83,61,-0.34,364,-1.08,0.419567738,-0.67086999
273,Michael Porter Jr.,PF,670,18.5,0.589,0.358,0.151,8.8,24.3,16.5,8,1.5,2.6,10.3,22,0,0,0,-0.149,-12.6,0,0.75,94,0.16,187,0.59,94,-0.13,311,-0.49,458,0.35,92,-0.53,436,-0.18,350,-0.35,417,0.82,84,-0.06,297,0.89,53,-0.15,343,-0.17,376,0.01,246,-0.17,287,-0.83,447,0.66,90,-0.71,2.31357277,-0.895999384
274,Mikal Bridges,SF,1772,13,0.623,0.391,0.258,3.6,12.8,8.1,8.9,2.5,1.9,12.5,12.4,-0.1,0,-0.1,-0.075,-7.7,-0.1,1.01,70,0.82,48,0.19,171,0.32,121,0.08,203,0.24,129,0.49,92,0.13,175,0.36,83,0.09,226,0.34,125,-0.25,339,0.25,128,0.4,57,-0.15,360,1.15,67,0.57,102,0.58,104,1.02,-0.39141193,-0.668655822
275,Mike Conley,PG,1171,13.7,0.527,0.438,0.241,2.7,9.5,6.2,22.8,1.3,0.3,12.4,23,0.1,0,0.2,0.051,-3.7,-0.1,0.01,247,0.36,118,-0.36,378,-0.59,444,-0.32,404,-0.27,401,0.27,141,0.25,116,0.02,240,-0.44,366,-0.28,384,-0.16,306,0.11,187,0.27,99,-0.17,375,-0.82,410,-0.23,340,-0.59,407,-0.6,-2.054482,1.12844692
276,Mike Muscala,C,492,12.2,0.56,0.755,0.138,3,17.7,10.6,9.8,0.8,1.9,7.7,16.4,0.1,0.8,0.9,0.037,-3.2,-0.4,0.23,177,0.88,42,-0.64,426,-0.4,405,0.01,272,-0.38,440,-0.05,269,0.28,109,-0.33,411,-1.07,463,1.07,16,-2.15,513,0.21,146,0.01,251,0.2,116,-0.49,360,0.4,144,-0.88,453,-1.02,1.70499645,-0.242173437
