Rk,Player,Pos,MP,PER,TSx,3PAr,FTr,ORBx,DRBx,TRBx,ASTx,STLx,BLKx,TOVx,USGx,OWS,DWS,WS,WS/48,BPM,VORP,LA_RAPM,LA_RAPM_Rank,LA_RAPM__Def,LA_RAPM__Def_Rank,LA_RAPM__Off,LA_RAPM__Off_Rank,RA_EFG,RA_EFG_Rank,RA_EFG__Def,RA_EFG__Def_Rank,RA_EFG__Off,RA_EFG__Off_Rank,RA_FTR,RA_FTR_Rank,RA_FTR__Def,RA_FTR__Def_Rank,RA_FTR__Off,RA_FTR__Off_Rank,RA_ORBD,RA_ORBD_Rank,RA_ORBD__Def,RA_ORBD__Def_Rank,RA_ORBD__Off,RA_ORBD__Off_Rank,RA_TOV,RA_TOV_Rank,RA_TOV__Def,RA_TOV__Def_Rank,RA_TOV__Off,RA_TOV__Off_Rank,RAPM,RAPM_Rank,RAPM__Def,RAPM__Def_Rank,RAPM__Off,RAPM__Off_Rank,PIPM,X1,X2
338,Shaquille Harrison,SF,484,17.8,0.559,0.255,0.303,4.8,15.3,9.8,15.3,3.4,3.7,9.2,18.1,-1.3,0.5,-0.9,-0.079,-6.1,-0.6,0.77,90,0.74,56,0.03,225,0.4,105,0.32,101,0.08,198,-0.03,262,-0.3,400,0.27,114,0.19,204,-0.09,315,0.28,149,1.33,4,1.05,6,0.28,91,1.57,38,1.16,31,0.41,132,2.49,-1.20858075,0.386999521
339,Skal Labissière,C,567,15.4,0.588,0.088,0.224,12.1,18.7,15.4,10.2,0.6,4.6,15.7,14.3,1.3,0.4,1.7,0.053,-1.4,0.2,-0.44,362,-0.43,399,0.01,247,0.72,53,0.69,22,0.03,226,0.2,165,0.01,257,0.21,137,0.88,79,0.23,159,0.65,73,-0.35,413,-0.35,434,0.01,262,0.9,90,0.66,81,0.24,175,-0.9,3.0305746,1.38828008
340,Solomon Hill,SF,992,9.8,0.542,0.629,0.169,2.9,13.2,8.2,12.6,1.7,1.1,15,13.2,-0.1,0.1,-0.1,-0.118,-10,-0.1,-1,447,-0.78,452,-0.22,333,0.01,253,-0.56,470,0.57,38,-1.12,496,-0.74,495,-0.38,428,-1.12,466,-0.7,457,-0.42,396,0.04,231,0.12,164,-0.08,322,-0.57,375,-1.21,483,0.64,94,-1.36,-0.608420317,-0.772622069
341,Spencer Dinwiddie,SG,1994,17.9,0.541,0.392,0.437,1.7,9.5,5.7,35.6,1,0.9,12.5,29.2,0,0,0,0.317,4.4,0,0.49,125,-0.48,411,0.97,45,0.42,101,0.04,234,0.37,87,0.39,113,-0.45,449,0.84,23,0.14,217,0.05,233,0.08,210,-0.64,473,-0.9,511,0.27,99,0.16,204,-0.78,442,0.94,57,1.06,-3.18943952,0.753597597
342,Sterling Brown,SF,665,9.3,0.478,0.523,0.161,4.4,19.2,12.3,8.8,1.5,0.9,13.4,16.7,-0.1,0.2,0.1,0.023,-5.6,-0.2,-0.59,385,0.58,77,-1.17,493,0.44,98,0.55,44,-0.11,324,0.39,114,0.24,124,0.15,162,0.72,100,0.05,238,0.67,71,-0.75,483,-0.06,307,-0.69,506,0.2,199,0.84,60,-0.63,412,-1.34,-0.157180875,-0.956463513
343,Steven Adams,C,1564,20.8,0.605,0.007,0.413,14.4,23.8,19.3,13.5,1.6,3.5,14.1,17.2,2.9,3.4,6.2,0.147,3.9,3,0.29,157,-0.35,389,0.64,87,0.71,56,0.26,127,0.45,67,1.41,7,0.93,11,0.47,68,1.5,30,0.32,128,1.18,27,-0.89,498,-0.86,510,-0.03,283,1,80,0.06,233,0.94,56,1.8,3.55148765,1.40885915
344,Sviatoslav Mykhailiuk,SF,1265,11.2,0.578,0.704,0.173,1.5,7.9,4.7,12.3,1.6,0.3,12.3,17.1,1.9,0.6,2.5,0.082,-1.5,0.2,0.38,143,0.18,179,0.2,166,0.02,239,-0.05,292,0.06,205,-0.2,329,-0.27,384,0.07,199,-0.65,401,0.41,106,-1.06,490,0.69,41,0.42,53,0.27,95,0.58,129,0.32,168,0.26,161,-0.34,-1.53969709,-0.639486106
345,Taj Gibson,C,1025,16.1,0.61,0.049,0.196,11.2,16.7,13.9,7.6,1.3,2.8,13.1,14.8,0.2,0.2,0.4,0.035,-3.1,-0.2,-1.94,504,-0.43,400,-1.5,505,-1.33,506,-0.63,482,-0.7,489,-0.68,459,0.27,112,-0.95,505,0.15,211,-0.03,275,0.18,178,-0.12,326,0.01,254,-0.12,347,-2.43,509,-0.92,451,-1.5,499,-2.51,2.90880601,1.21076203
346,Taurean Prince,SF,1857,9.2,0.497,0.583,0.12,2.8,17.9,10.6,9.3,1.5,1.1,14,20.4,0.2,-0.1,0,0.001,-4.4,-0.6,1.08,64,0.1,214,0.98,44,0.22,152,0.2,148,0.02,236,0.87,39,0.89,16,0.01,263,0.5,141,0.01,259,0.48,108,0.11,185,-0.25,404,0.36,67,0.75,112,0.38,146,0.37,138,0.04,-0.644091362,-2.14430805
347,Terance Mann,SG,271,7.1,0.472,0.222,0.222,1.6,10.8,6.3,17.9,1.4,1.6,19.1,11.2,-0.1,0,0,-0.038,-7.9,-0.1,0.01,250,0.37,114,-0.38,385,0.06,219,0.17,165,-0.11,328,-0.56,443,-0.46,453,-0.1,316,-0.73,418,-0.11,328,-0.62,433,0.33,106,0.25,105,0.07,193,-0.06,260,0.22,189,-0.28,345,-1.66,-1.86794778,1.12314064
348,Terence Davis,SG,1087,14.5,0.598,0.568,0.133,4.6,16.3,10.5,14.6,1.4,1.1,13.6,18.9,0.5,0.4,0.9,0.137,1.4,0.3,0.49,124,-0.12,326,0.6,92,1.45,6,0.69,23,0.76,17,-0.44,409,-0.74,494,0.3,106,1.02,60,-0.42,422,1.44,15,-0.17,347,0.1,174,-0.27,421,2.04,21,0.46,124,1.58,20,0.39,-0.833934371,-0.904784925
349,Terrance Ferguson,SF,1170,4.1,0.504,0.779,0.095,2.3,4.6,3.5,5,1.1,1.2,12.6,9,2,1.1,3.1,0.085,-1.5,0.2,-0.02,258,0.23,159,-0.25,349,-0.4,407,-0.29,400,-0.11,329,-0.56,444,0.27,110,-0.84,496,-0.69,413,-0.38,408,-0.31,360,-1.07,508,-0.5,474,-0.57,494,-2.14,501,-1.21,485,-0.92,455,-3.76,-0.979971563,-1.60272855
350,Terrence Ross,SG,1723,14.2,0.548,0.584,0.207,0.8,12.3,6.3,6.8,2,1.2,6.8,22.8,0.1,1.8,1.9,0.084,0.1,0.6,-0.79,419,-0.44,401,-0.35,376,-1.2,500,-0.14,349,-1.06,512,-0.53,438,-0.75,497,0.21,133,-0.38,349,-0.49,438,0.11,201,0.08,200,-0.07,318,0.15,148,-1.67,487,-0.6,416,-1.07,470,-1.71,-1.83875735,-2.7963292
351,Terry Rozier,PG,2164,14.9,0.553,0.45,0.202,2.4,11.8,7,20.4,1.4,0.4,12.1,23.7,-0.1,0.4,0.3,0.018,-3.8,-0.3,-2.68,513,-1.07,489,-1.61,509,-1.56,512,-0.67,490,-0.89,504,0.2,163,0.29,105,-0.09,310,0.59,121,0.52,83,0.07,215,-0.08,309,-0.11,345,0.03,230,-2.31,504,-0.99,463,-1.32,490,-3.05,-1.57785101,0.331998035
352,Thabo Sefolosha,PF,436,9.5,0.487,0.593,0.088,5,17.4,11.2,7.5,2.6,2.4,13.7,10.4,0.2,0.2,0.4,0.033,-3.3,-0.2,0.63,107,-0.24,358,0.87,54,-0.15,318,0.03,242,-0.18,361,-0.36,388,-0.5,457,0.14,167,-0.48,373,-0.09,314,-0.39,386,0.56,59,0.22,119,0.34,74,0.02,239,-0.07,290,0.09,220,-0.16,-0.358385798,-1.56144505
353,Thaddeus Young,PF,1591,13.3,0.521,0.369,0.12,6.2,16.1,10.9,11.3,2.8,1.4,13.9,19.7,-0.2,0.1,-0.2,-0.099,-8.8,-0.1,-0.94,442,0.11,207,-1.05,484,-1.33,507,-0.6,479,-0.73,495,-0.48,422,0.26,114,-0.74,488,-0.19,306,0.01,257,-0.2,325,0.49,73,0.94,9,-0.45,478,-1.69,488,0.18,196,-1.87,511,-2.49,0.069684868,0.055921328
354,Theo Pinson,SG,365,5.2,0.37,0.516,0.103,2.9,12.1,7.6,22,2.2,0.9,16.9,22.4,-0.1,0.2,0.2,0.03,-3.5,-0.1,-0.6,387,0.58,78,-1.18,494,-0.05,279,0.57,40,-0.62,481,-0.8,472,-0.08,300,-0.71,482,-0.98,453,-0.84,476,-0.13,296,0.22,139,0.33,76,-0.11,340,-0.61,385,0.65,85,-1.25,488,-2.29,-2.91288324,0.681168361
355,Thomas Bryant,C,901,20,0.659,0.176,0.309,8.8,23.4,15.8,11.9,0.7,3.2,12.1,18.3,3.8,1.3,5.1,0.205,7.8,2.9,-1.26,475,-0.79,456,-0.47,404,0.03,231,-0.27,394,0.31,107,-0.29,363,0.51,62,-0.79,493,-1.74,495,-1.01,485,-0.73,450,-0.95,500,-0.59,488,-0.36,457,-1.29,458,-1.04,471,-0.26,340,-0.74,4.61623084,1.26331565
356,Thon Maker,C,776,13.7,0.582,0.332,0.57,7.8,16.7,12.2,8,1.6,4.2,15.7,16.1,1.2,0.4,1.6,0.071,-1.1,0.3,-1.27,478,-0.84,461,-0.44,395,-1.1,498,-0.6,480,-0.5,460,0.27,144,-0.09,303,0.36,86,-0.94,446,-0.83,474,-0.11,286,-0.3,389,0.23,116,-0.52,490,-1.79,492,-0.94,456,-0.84,447,-1.45,2.24357798,-0.138718006
357,Tim Frazier,PG,355,9.8,0.464,0.319,0.255,2.8,7.8,5.3,36.5,1.9,0.9,25.6,17.3,0.5,0.1,0.5,0.087,-0.5,0.1,-0.61,389,0.18,178,-0.79,454,-0.27,372,-0.03,283,-0.23,385,0.03,239,0.23,128,-0.2,365,-0.14,297,0.04,241,-0.18,316,0.05,217,0.38,65,-0.33,437,-0.56,373,0.16,202,-0.73,426,-1.55,-3.57102784,4.16614373
358,Tim Hardaway Jr.,SG,1815,15,0.581,0.574,0.191,1.4,9.9,5.7,10.2,1,0.2,6.6,21.7,1.8,2.2,3.9,0.086,-1.6,0.2,0.91,74,0.06,232,0.85,55,1.09,21,0.63,32,0.47,62,0.35,121,0.14,169,0.21,131,0.62,119,0.86,36,-0.24,334,0.06,212,-0.79,507,0.85,4,2.1,19,0.44,128,1.66,16,1.92,-1.48155414,-1.67938697
359,Timothé Luwawu-Cabarrot,SG,671,8.9,0.563,0.568,0.323,3.8,10,7,5.3,1.1,0.7,12.7,15.7,-0.1,0.1,0,-0.009,-7.9,-0.1,-0.4,353,0.66,69,-1.06,485,-0.48,420,0.44,69,-0.92,509,0.11,197,-0.13,327,0.25,122,0.4,158,-0.41,418,0.81,60,-0.39,421,-0.14,356,-0.25,409,-0.83,413,0.5,117,-1.33,491,-2.54,-1.06027027,-1.4706179
360,TJ Leaf,PF,193,13.8,0.485,0.203,0.174,12.1,24.4,18.3,4.3,2,1.4,8.6,18.5,-0.5,0.1,-0.3,-0.064,-5.6,-0.2,-0.21,319,0.29,139,-0.5,411,0.03,233,0.3,111,-0.27,402,-0.23,343,0.15,160,-0.38,426,0.94,69,0.64,61,0.3,145,-0.47,448,-0.14,361,-0.33,439,-0.15,278,0.58,97,-0.73,425,-0.74,2.70592337,-0.536727652
361,TJ McConnell,PG,1188,16.2,0.541,0.041,0.099,3,12.1,7.6,37.2,1.8,0.8,18.5,17.2,1,2.8,3.7,0.111,0.2,0.9,-0.48,371,-0.13,332,-0.35,377,0.1,198,-0.23,380,0.33,101,-1.16,500,-0.04,264,-1.12,510,-1.02,457,-0.29,385,-0.73,452,0.12,184,0.11,168,0.01,254,-0.45,356,-0.45,386,0.01,251,-0.47,-2.37770731,4.31900099
362,TJ Warren,SF,1984,17.2,0.599,0.212,0.214,3.4,10,6.7,6.8,1.7,1.2,7.5,22.8,-0.1,0,0,-0.167,-13.5,0,0.23,180,0.28,144,-0.06,268,-0.27,376,0.13,184,-0.4,445,0.46,98,0.39,83,0.07,205,0.66,109,0.64,62,0.02,232,0.13,179,-0.48,472,0.61,18,0.15,206,0.29,176,-0.14,306,-0.01,-0.95154928,-1.14366809
363,Tobias Harris,PF,2243,16.8,0.557,0.309,0.183,2.7,19,10.8,14.6,1.1,1.3,7.9,23.6,3.8,2.4,6.2,0.182,2.3,1.8,1.48,35,0.5,86,0.98,43,0.12,182,0.25,133,-0.12,331,0.05,227,0.34,91,-0.3,400,1.2,44,1.54,5,-0.35,370,0.19,155,-0.44,461,0.63,16,0.79,105,0.66,82,0.13,196,1.48,0.557349324,-0.859767758
364,Tomáš Satoranský,PG,1878,13.5,0.533,0.361,0.22,4.3,11,7.5,27.1,2.1,0.4,17.7,16.7,-0.1,0.6,0.5,0.048,-0.5,0.2,-0.74,413,-0.59,434,-0.15,308,-0.25,367,-0.59,478,0.33,96,-0.48,421,-0.21,365,-0.27,386,0.01,254,-0.48,433,0.48,109,0.07,202,0.69,18,-0.62,500,-0.36,342,-0.27,355,-0.09,287,-0.16,-2.1545048,1.57670496
365,Tony Bradley,C,535,21.8,0.675,0.006,0.258,19.3,24.7,22.1,4.9,1.1,3.9,11.8,16.1,-0.1,0.1,0,-0.02,-5.9,0,-0.39,351,-1.08,490,0.68,73,0.32,123,0.19,151,0.12,169,-1.13,497,-0.54,465,-0.59,464,1.09,52,0.05,237,1.05,33,-0.38,419,-0.66,497,0.28,89,0.05,236,-0.44,385,0.49,114,-0.27,5.51991401,0.621274132
366,Tony Snell,SF,1641,9.7,0.598,0.665,0.084,0.6,7.1,3.8,10.9,1,0.8,7.3,11.4,-0.1,0.1,0,-0.035,-6,0,-1.73,497,-1.28,504,-0.45,399,-0.63,455,-0.32,406,-0.31,414,-0.08,288,0.59,49,-0.67,475,0.09,227,-0.41,417,0.5,102,-0.55,459,-0.31,426,-0.23,400,-1.59,481,-0.78,441,-0.82,441,-2.78,-1.35503411,-1.04700162
367,Torrey Craig,SF,869,10.4,0.559,0.524,0.149,6.1,13.8,10,5.2,1,3.4,9,12.2,0,0,0,0.104,-5.6,0,-0.71,406,-0.92,477,0.2,165,-0.75,469,-0.38,427,-0.37,437,-0.15,312,-0.28,388,0.13,176,1.22,41,-0.25,372,1.46,14,-0.61,468,-0.41,453,-0.2,389,-1.42,470,-1.04,470,-0.38,370,-3.15,0.577206083,-1.84712254
368,Trae Young,PG,2120,23.9,0.595,0.455,0.448,1.6,11.5,6.5,45.6,1.4,0.3,16.2,34.9,2.2,2.7,4.9,0.136,2.3,1.8,-0.6,386,-2.21,514,1.61,11,0.52,79,-0.56,469,1.08,3,-0.4,402,-0.51,460,0.11,186,-1.71,492,-0.94,481,-0.77,458,-0.22,369,-0.38,444,0.16,140,0.06,234,-1.95,508,2.01,11,1.33,-3.11129374,2.83188753
369,Treveon Graham,SG,929,6.6,0.456,0.496,0.231,5.7,11.7,8.6,6.6,1.2,0.5,9.8,13.1,0.6,0.4,1,0.126,-0.8,0.1,0.07,223,0.16,185,-0.09,282,-0.55,438,0.15,177,-0.7,490,0.19,169,-0.08,298,0.27,113,0.25,192,0.04,243,0.21,171,0.11,188,0.04,213,0.07,196,-0.97,429,0.01,262,-0.97,465,-2.53,-0.697400296,-1.68129939
370,Trevor Ariza,SF,1493,11,0.593,0.639,0.228,2.5,15.6,9,8.1,2.2,0.9,13.6,11.9,2.9,2.6,5.5,0.15,4,2.7,0.51,122,1.16,18,-0.65,428,0.01,245,0.03,241,-0.02,258,-0.29,367,-0.17,340,-0.13,331,0.37,166,0.58,69,-0.2,326,-0.21,364,0.37,68,-0.58,495,0.01,241,0.61,94,-0.59,408,-0.16,0.099280073,-0.912421588
371,Trey Burke,PG,329,15.4,0.545,0.299,0.142,5,6.7,5.9,24.2,1,0.3,8.2,19.3,-0.1,0.1,0,-0.001,1.8,0,0.61,112,0.26,154,0.35,142,0.1,199,0.03,246,0.07,202,0.03,235,0.22,130,-0.19,360,0.45,147,-0.13,334,0.58,86,0.35,101,0.02,237,0.33,79,0.3,173,-0.06,287,0.36,141,-0.73,-2.22727258,1.97424338
372,Trey Lyles,PF,1271,12.7,0.557,0.49,0.131,6,24.6,15.3,7.3,1.1,1.9,9.7,13.7,3.5,1.9,5.4,0.163,4.7,2.7,0.97,71,0.32,128,0.65,81,0.3,127,-0.24,385,0.54,47,0.93,33,0.84,22,0.08,194,1.49,31,1.18,9,0.31,140,0.26,126,-0.04,291,0.3,85,1.04,75,-0.02,265,1.05,46,0.23,2.61886622,-0.926459505
373,Tristan Thompson,C,1721,16.8,0.54,0.041,0.286,14.5,22.9,18.6,10.5,0.9,2.5,14,18.3,0,0.5,0.5,0.028,-3.2,-0.2,-1.05,458,-0.58,432,-0.47,402,-0.87,484,-0.41,438,-0.45,452,1.28,14,1.42,2,-0.14,337,1.72,20,0.53,78,1.19,26,-1.02,505,-0.63,492,-0.4,466,-1.55,479,-0.63,421,-0.93,456,-2.15,3.72815998,0.940858832
374,Troy Brown Jr.,SG,1519,13.7,0.534,0.287,0.225,4.4,19.6,11.7,13,2.3,0.3,10.5,17,-0.3,0.1,-0.3,-0.075,-8.7,-0.3,-0.7,402,-1.13,496,0.43,117,-0.83,481,-0.67,488,-0.17,355,0.12,195,-0.35,420,0.47,70,-1.24,474,-0.62,451,-0.63,435,0.88,17,0.36,70,0.51,33,-1.15,446,-1.18,482,0.04,235,-1.6,-0.418063213,-1.2709644
375,Troy Daniels,SG,457,8.9,0.524,0.711,0.101,2.9,7.9,5.5,4.1,0.8,0.6,5.1,16.2,-1.7,2.4,0.7,0.019,-3,-0.5,-0.5,373,-0.27,370,-0.22,330,0.05,225,0.24,134,-0.19,368,-0.42,406,-0.28,390,-0.14,338,-0.94,447,-0.68,455,-0.26,342,-0.02,283,0.01,268,0.01,267,-0.3,328,0.26,183,-0.56,400,-2.73,-1.26296876,-1.76734686
376,Ty Jerome,PG,315,8.1,0.437,0.443,0.132,2.1,12.6,7.2,18.8,2.1,0.8,13.8,17.6,0,0,0.1,0.104,1.8,0,-0.86,429,-0.09,312,-0.77,450,-1.34,508,-0.73,492,-0.61,478,-0.05,271,-0.14,329,0.08,195,0.54,134,0.13,195,0.41,123,-0.21,366,0.24,109,-0.45,481,-1.75,491,-0.78,443,-0.97,466,-3.13,-2.50680529,0.141972826
377,Tyler Herro,SG,1280,11.4,0.534,0.476,0.148,1.3,14.6,8.2,11.1,1.1,0.5,11.3,22,3.1,2.2,5.3,0.129,0.2,1.1,-1.59,490,-1.46,508,-0.12,299,-0.48,419,0.06,219,-0.54,468,0.13,189,-0.42,439,0.54,59,-0.63,396,-0.35,402,-0.27,348,-0.81,489,-0.37,438,-0.44,474,-1.52,474,-0.38,374,-1.14,478,-2.9,-1.03145285,-1.54794845
378,Tyler Johnson,SG,515,8.1,0.481,0.485,0.187,2.1,9.3,5.6,13.5,1.1,1.4,11.5,17.3,0.5,1.4,2,0.054,-1.6,0.2,-0.7,400,0.14,196,-0.83,458,-0.25,365,0.26,126,-0.5,463,-0.76,467,-0.44,446,-0.32,410,-0.41,353,0.5,88,-0.9,475,-0.4,425,-0.4,450,0.01,265,-1.16,447,0.15,209,-1.3,489,-2.97,-1.32200339,-0.277325625
379,Tyson Chandler,C,219,10.8,0.717,0,0.722,11.9,19.8,15.8,3.5,1.3,3.1,25.2,6,-0.2,0.1,-0.1,-0.045,-6.5,-0.1,0.22,182,0.11,209,0.11,193,-0.21,348,0.04,232,-0.25,394,0.89,37,0.1,190,0.79,26,1.05,57,0.81,43,0.24,165,-0.05,294,0.02,234,-0.07,312,0.07,222,0.31,171,-0.24,336,-0.78,3.66254223,0.970054347
380,Tyus Jones,PG,1232,15.7,0.532,0.289,0.135,0.8,7.9,4.4,31.7,2.2,0.4,10.8,17.2,-0.1,0,-0.1,-0.181,-7.3,0,0.86,79,0.41,109,0.45,114,-0.58,443,-0.55,466,-0.03,268,-0.39,401,-0.1,307,-0.29,398,-0.21,312,0.01,262,-0.21,330,1.03,8,0.38,63,0.65,14,-0.07,264,-0.38,375,0.31,153,-0.07,-3.64993617,2.13558301
381,Vince Carter,SF,876,7.6,0.47,0.664,0.095,2.2,13.2,7.6,7.7,1.2,2.4,9.4,16.6,2.1,2.3,4.3,0.109,1.8,1.8,-1.13,465,-0.5,417,-0.63,422,-0.1,297,0.17,163,-0.27,403,-0.85,476,-0.59,474,-0.26,383,-1.86,501,-0.78,468,-1.08,491,0.07,206,0.04,212,0.02,232,-0.98,430,-0.22,336,-0.76,431,-2.54,-0.116424999,-1.49713113
382,Vincent Poirier,C,114,12.8,0.54,0.061,0.212,9.5,22.4,16,8.6,0.8,4.9,14.3,15.8,-0.4,1.4,0.9,0.026,-2.8,-0.3,-0.49,372,-0.24,359,-0.25,348,-0.05,273,-0.09,321,0.05,215,-0.88,482,-0.56,466,-0.32,409,-0.16,304,-0.22,366,0.06,216,-0.26,376,-0.2,385,-0.06,309,-0.43,353,-0.4,381,-0.03,264,-0.85,3.15258809,0.537160365
383,Wayne Ellington,SG,558,8.5,0.509,0.822,0.075,0.7,12,6.2,11,1.1,0.7,9.1,15,5.1,3,8.1,0.204,3.2,2.5,0.23,174,0.1,217,0.13,189,0.13,178,0.29,117,-0.16,350,0.44,101,0.14,165,0.3,102,0.83,83,0.08,220,0.76,62,-0.15,342,-0.07,315,-0.09,327,0.28,180,0.46,122,-0.18,314,-0.94,-1.70919492,-1.1517179
384,Wendell Carter Jr.,C,1256,15.5,0.59,0.085,0.443,11.6,24.6,17.8,6,1.3,2.7,14.9,16.4,0.9,1.1,1.9,0.05,-0.3,0.8,0.02,239,0.97,34,-0.95,470,-0.13,310,0.35,90,-0.49,457,0.01,255,-0.15,335,0.14,168,1.58,25,0.67,53,0.91,49,0.22,143,0.48,38,-0.27,419,0.26,188,0.95,49,-0.69,422,0.44,3.58324479,0.221745924
385,Wenyen Gabriel,PF,210,9.6,0.547,0.435,0.435,9.1,14,11.6,5,2.3,2.5,22.6,14.5,0.6,0.8,1.4,0.046,-0.4,0.6,0.25,171,0.07,231,0.19,173,-0.7,466,-0.46,450,-0.24,391,-0.03,260,-0.62,479,0.6,52,1.04,58,0.06,226,0.98,40,0.46,80,0.47,42,0.01,268,-0.6,380,-0.59,414,0.01,253,-1.11,0.159263575,-0.694504047
386,Wesley Iwundu,SF,810,9.9,0.521,0.345,0.392,2.9,12.4,7.5,7.9,1.5,1.2,7.3,13.1,0.3,0.1,0.3,0.116,-1.8,0,0.15,202,0.47,92,-0.32,370,-0.07,288,0.35,91,-0.42,447,0.52,85,0.5,63,0.02,243,0.62,117,0.9,29,-0.28,350,0.9,13,0.34,74,0.57,24,0.85,97,1.17,30,-0.32,357,-0.68,-0.320406333,-0.735772131
387,Wesley Matthews,SG,1529,8.4,0.545,0.691,0.157,1.4,8.5,5.2,7.4,1.1,0.5,8.7,12.7,0.1,0.8,0.8,0.052,-2.3,-0.1,1.36,40,2.01,3,-0.65,429,1.14,17,1.3,2,-0.17,354,0.7,55,1.16,8,-0.46,444,-1.14,467,1.06,17,-2.2,514,0.55,61,-0.03,286,0.58,21,2.12,17,2.57,2,-0.45,383,1.55,-0.457224104,-0.554906259
388,Will Barton,SF,1916,15.7,0.549,0.39,0.18,4.4,16.8,10.6,16,1.6,1.4,9.9,20,2.2,1.7,3.9,0.107,0.8,1.2,0.52,119,-0.07,302,0.59,93,0.59,69,0.34,97,0.26,124,0.39,112,0.65,44,-0.26,382,0.95,66,-0.33,399,1.28,22,0.13,177,-0.06,314,0.19,121,1.34,54,0.56,105,0.78,72,1.72,-0.480910185,-0.402103261
389,Willie Cauley-Stein,C,1097,17,0.589,0.003,0.219,8,23.2,15.5,9.9,2.1,4.9,10.8,14.4,0.8,0.6,1.5,0.087,-1.2,0.2,-0.08,269,1.26,14,-1.34,502,-0.31,382,0.52,52,-0.82,499,0.04,233,0.66,40,-0.63,468,-0.93,443,0.21,163,-1.14,496,0.79,30,0.41,54,0.38,62,-0.25,315,1.29,27,-1.54,501,0.26,3.46783309,1.37832061
390,Willy Hernangómez,C,375,19.2,0.576,0.158,0.424,12.1,27.5,19.5,13.5,1.3,1.7,15.4,22.9,-0.1,0,0,-0.045,-3.9,0,-0.32,340,-0.17,343,-0.14,305,-0.2,346,0.17,167,-0.36,432,0.73,49,0.37,84,0.36,87,0.72,99,0.41,104,0.31,144,-0.31,390,-0.1,340,-0.2,390,-0.21,301,0.42,135,-0.63,413,0.56,3.16438557,0.988315669
391,Wilson Chandler,SF,734,7.4,0.531,0.661,0.126,1.6,18.3,10.2,7.4,1,1.4,15,13,1.3,0.4,1.8,0.149,2.4,0.6,-0.74,412,0.27,152,-1.01,475,-0.61,452,-0.39,434,-0.22,381,0.21,160,0.25,121,-0.03,277,0.26,190,0.57,71,-0.3,357,-0.82,492,-0.38,440,-0.44,476,-1.56,480,-0.63,422,-0.93,459,-2.55,0.706078437,-1.25701723
392,Yogi Ferrell,PG,484,10.7,0.499,0.408,0.219,1.4,10,5.6,17.6,1.4,0.8,11.9,18.9,-0.2,0.5,0.3,0.055,-3.6,-0.1,0.61,110,0.53,82,0.08,204,-0.79,475,-0.15,352,-0.64,484,-0.1,295,0.01,243,-0.11,323,0.39,161,0.01,263,0.39,126,0.66,44,0.58,26,0.09,180,-0.33,338,0.45,127,-0.78,434,-1.58,-2.44774064,0.286496423
393,Zach LaVine,SG,2085,19.5,0.568,0.404,0.279,2.1,13.8,7.7,21.7,2,1.3,13.3,31.7,2.6,1.8,4.3,0.148,2.4,1.6,-0.66,395,-1.03,485,0.37,132,-1.07,496,-0.96,507,-0.11,327,0.43,106,-0.39,429,0.81,25,-0.56,387,-1.05,489,0.48,107,-0.05,296,0.11,167,-0.16,373,-1.59,482,-1.51,500,-0.08,284,-1.06,-1.93712031, -4.50244882e-01]])
